Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
1,1 1 4 6,4.4,99.20%,4.67,1.48
2,1 1 11 11,4.41,99.60%,4.68,1.45
3,1 1 3 8,4.45,99.20%,4.69,1.48
4,1 1 1 8,4.48,98.80%,4.66,1.25
5,6 6 6 6,4.59,99.40%,4.82,1.49
6,1 1 2 12,4.63,99.10%,4.95,1.57
7,1 2 2 6,4.8,99.20%,5.16,1.61
8,1 1 10 12,4.81,99%,5.06,1.54
9,2 2 10 10,4.85,98.20%,5.13,1.63
10,1 1 1 12,4.86,99.20%,5.18,1.63
11,1 1 2 8,4.96,97.80%,5.31,1.76
12,1 1 4 8,4.99,98.10%,5.35,1.83
13,1 1 5 8,5,96.40%,5.36,1.81
14,4 6 11 11,5,98.90%,5.38,1.73
15,1 1 3 12,5.02,97.30%,5.36,1.84
16,2 2 2 12,5.02,99.10%,5.37,1.7
17,1 1 4 12,5.03,97.40%,5.45,1.85
18,1 1 12 12,5.03,99.40%,5.4,1.66
19,3 3 3 8,5.04,98%,5.4,1.8
20,1 1 2 6,5.09,98.40%,5.4,1.61
21,1 1 2 11,5.09,98.90%,5.41,1.7
22,1 2 3 4,5.1,99%,5.46,1.85
23,11 11 12 12,5.1,98.70%,5.5,1.87
24,3 7 7 8,5.11,96.70%,5.48,1.89
25,1 1 13 13,5.16,99.30%,5.45,1.66
26,1 2 4 12,5.16,97.60%,5.56,1.99
27,1 1 3 6,5.17,97.70%,5.52,1.77
28,1 1 3 9,5.17,97%,5.52,1.85
29,7 7 12 12,5.17,98.60%,5.58,1.89
30,4 6 7 7,5.18,98.60%,5.53,1.83
31,1 1 2 13,5.19,98.70%,5.49,1.78
32,1 1 5 6,5.19,96.80%,5.62,2.04
33,1 1 11 13,5.23,99.10%,5.66,1.85
34,1 6 6 12,5.24,98.70%,5.57,1.72
35,4 5 12 12,5.24,97%,5.6,1.79
36,4 6 13 13,5.24,98.70%,5.63,1.79
37,12 12 12 12,5.25,99.30%,5.73,2.14
38,2 11 11 12,5.26,97.20%,5.68,2
39,4 4 4 6,5.26,98.10%,5.61,1.94
40,1 1 1 11,5.27,97.30%,5.56,1.66
41,1 1 11 12,5.27,99.30%,5.67,1.8
42,2 7 7 12,5.29,98.70%,5.65,1.89
43,1 5 7 12,5.3,98.30%,5.87,2.12
44,10 10 12 12,5.31,98.60%,5.74,1.91
45,1 8 8 8,5.32,97.70%,5.65,1.94
46,2 2 3 8,5.33,98.10%,5.72,1.93
47,2 9 9 12,5.33,97.30%,5.74,2
48,11 11 11 12,5.33,94.80%,5.61,1.99
49,3 8 13 13,5.34,94.80%,5.68,2.06
